module_genes	seed	edges	module_score	m_gwas	m_scrnaseq	module_score_z	z_gwas	z_scrnaseq	cell_type
FOXP1:QTRT1:RBFOX1:RFTN2:SREBF1:TCF4	QTRT1	121143:208885:212724:121145:211531	8.203056141937639	5.252026844359814	3.904133688442145	0.4203346346178817	1.7636266513765408	-0.342806723746767	Astro
ANKS1B:CKB:CUL3:MACF1:NRXN1:TCF4	SIRT3	68641:165216:20084:165239:81816	10.079930552762983	4.964072576224968	5.482300348543997	2.437754120232541	1.3032842724006433	2.3185551532121753	Astro
CACNB2:CCDC92:NTM:RORA	CCDC92	47778:55572:186223	7.54447936290134	3.6559913917577744	4.449784366302096	1.4295885400745993	0.5405964650841834	1.8356442805326396	Astro
ERBB4:MACF1:MARK3:NRXN1:RC3H1:TCF4	CNOT2	109169:165216:165239:165211:169070	10.031039854380943	4.93146063245158	5.505453400733654	2.3852023634328603	1.251148702829439	2.3575996039603737	Astro
CACNB2:CKB:NRXN1:STON2:SYT1	SEMA4F	185766:226663:47799:68713	8.140630809498314	3.867936193159195	5.249867891064839	1.0924538631922396	0.1458883074941261	2.513313628007826	Astro
CLASP2:DYNC1I2:KLC1:MARK3:NIN:NR3C2:RBFOX1	PLA2G6	157734:68888:157755:68890:97596:97598	7.585475783292135	4.305268335578301	3.7048015697255026	-0.8990673533450151	-0.25767851160241145	-1.1899524832587998	Astro
CACNA1C:CACNB2:ERBB4:MAGI2:PRKD1	DLG4	46866:109113:46958:109054	10.270062010689559	5.2301419295081155	5.118712550618029	3.225102773024238	2.1879939909519512	2.2956880519246594	Astro
ATXN1:NCAM1:RBFOX1:SREBF2:TBC1D5	ZBTB25	36609:36550:36617:36588	8.249842646431825	4.3106341010528615	4.093058047951056	1.2018307262938546	0.8095442367281385	0.5938232918258071	Astro
CACNB2:RORA:SBNO1:SPAG9	IVNS1ABP	47778:216811:214860	7.565238093844945	3.757024006465721	3.9317978749795786	1.450132715165131	0.6942756592436917	1.0252905248762743	Astro
AKT3:ERBB4:FOXO3:KIAA0930:MARK3:MEF2C:RBFOX1:YWHAE	FAM78B	121106:169041:15305:156923:15291:169086:121055	10.567652744295291	5.279970072505296	5.306302533584264	Astro
ADGRB3:ERBB4:FOXP1:MAGI2:RBFOX1:SREBF1:TCF4	DNM2	109169:9749:121143:121145:211531:109054	11.393266108593977	6.0597532486313295	5.6343314784923235	2.959744614487807	2.4690476693103087	1.9467548350500898	Astro
CACNB2:INPP4B:MACF1:NRXN1:SYT1:TCF4	CHRM2	150595:165216:185766:165239:47799	10.145902108112399	4.953448767267022	5.769461423847435	2.5086657915146326	1.2863003619999958	2.8028129681059357	Astro
ERBB4:GPM6A:MACF1:MAPT:MARK3:NRXN1:TCF4	ABCF2	109169:165216:132119:165239:165211:168686	10.743411105922402	5.147795719241775	6.67674770130891	2.301182023737403	1.051732277900145	3.641340951583741	Astro
ERBB4:MAGI2:MAPK1:TCF4:THRB	SLC16A2	109169:167958:109055:109054	9.148618059352131	4.5513292122178886	4.7082452210710235	2.101964247149572	1.1703743531891324	1.6146011152305872	Astro
CACNB2:CKB:DLG2:ERBB4:SLC6A11	SLC3A1	91943:91834:68701:47709	9.01197054576617	4.405710695286497	5.090428340869505	1.965110250308854	0.9520751689269061	2.248756166272044	Astro
