Gene	Epi.stratified	T.CD4	Epi.suprabasal	Epi.basal	Epi.upper	Dendritic.Cells	T.CD8	Fibroblast	Glands.duct	Mono.macro	NK.T.CD8.Cytotoxic	Endothelia.Lymphatic	Endothelia.vascular.venous	Endothelia.vascular.arterial	B.CD27pos	B.CD27neg	Glands.mucous	Mast.cell	Muscle
MRGBP	0.334239906036075	0.155320881339738	0.702303849311903	0.39364220178851	0.135880331841711	0.255589769520072	0.0966087718081959	0.232458297153925	0.284210899660109	0.096032233732296	0.0907811884128464	0.0597056016689336	0.187956351856223	0.309554484130764	0.0580759997204774	0.0597062785550894	0.208034963127487	0	0.172025167477227
OGFR	0.548730609186776	0.475800750637247	1.06625821379673	1.11364656128209	0.637600284801338	1.15438757643763	0.38740979169572	0.655699619658965	1.47282693664843	0.524692473599982	0.536757270359331	1.12125891078887	0.697074892251531	0.575301634194807	0.452668185723485	0.388134870354024	1.45382961691441	0.16827039605271	1.18117319948026
DIDO1	0.518278053435567	0.336736604920345	0.666099966891279	0.461178672283444	0.437333942391318	0.268953676558491	0.177181876600023	0.293132094391838	0.720380314321017	0.15766145572602	0.263391027888648	0.313894358454517	0.412587258966358	0.438035439881086	0.341300935972272	0.21950368640638	0.705656651396598	0.0724164845384141	0.999543241313721
GID8	3.01302446014373	0.812827239612867	2.37303251636627	1.60893863181998	5.3240603380962	0.704533864968062	0.529294084328843	0.957814268320999	1.56381302058536	0.62442225328199	0.518578638101089	1.25272863358862	1.1013666780016	1.3347936566938	0.479643136300384	0.458806189869213	1.85593689048702	0.430983327251967	1.84026132666871
YTHDF1	0.522012562594903	0.127240420444266	0.757457693116329	0.405138845144955	0.208783406247834	0.245850436028314	0.119848288783754	0.262449951090439	0.389150304716973	0.206771502096214	0.0428747910361644	0.300025736922247	0.407305632337486	0.327626214254423	0.0763156542675263	0.0386803298354408	0.50146169116442	0	0.263046966037435
ARFGAP1	0.357089686395475	0.170535861082823	0.531367342639138	0.291190646153011	0.160189358052692	0.306023168774678	0.035330152400371	0.314799749173271	0.257093379044912	0.148653591010232	0.166437801718298	0.349320910442894	0.296600740718961	0.202383320970514	0.103392878433644	0.0451141833145787	0.615420847899896	0.0828984595774105	0.121032412807257
PPDPF	9.10477511197466	4.2160087773342	8.07208121864482	6.81169287002458	10.9830889414238	4.28924752364868	3.78705287971627	4.97004909538927	9.26526682906136	2.77738114821275	3.81553132711998	5.91809009269683	5.69909861337291	6.31219984844199	3.26636067579151	2.6003379592011	9.46814619021508	2.38480257558013	9.537390318807
PTK6	2.4361195317095	0.292533519405765	0.901776472686317	0.445221124940901	4.84710543000674	0.0495361648407877	0.0827586051327342	0.116065423041984	0.636590527884205	0.0276349383259295	0	0.350339192646948	0.142668947575276	0.134601723268431	0.057831986703568	0.0664376596300981	0.690923296803664	0.0939189661656041	0.0529230558438151
HELZ2	0.801426694020947	0.287863780735516	0.701172702488068	0.3345800400003	0.677478466010814	0.209471064789403	0.168926171682706	0.120240600752176	0.631887142102866	0.0783318762583412	0.362331388787208	0.248438341400672	0.612625363512378	0.613735688670852	0.119473970113814	0.2181941017289	0.313797912034714	0.388975869087955	0.352734546838336
ARFRP1	1.23397569267843	0.55356035287638	1.70890680541015	1.19460286872219	0.636875758556408	0.555100273779242	0.486067082288761	0.894579297205527	1.29814880922904	0.2616685956007	0.778900187462115	0.863705858084423	1.47609971129772	1.41273603937048	0.247178312735621	0.483401862253337	1.09409560910523	0.565674270372884	1.8194594369611
SLC2A4RG	0.809288504693474	0.303392199088741	1.48160944868126	1.02350972001499	0.64259279532157	0.177468572906534	0.226318764050437	0.388169818802756	1.19929056714165	0.0430985973884497	0.311115108575644	0.276072273438666	0.561530172451823	0.30210439078732	0.0904199251142894	0	0.423326390365503	0	1.09947571811019
TPD52L2	2.03920518504827	0.565623790188585	2.13412534439127	1.38492175355958	3.67312807186658	0.890877023493605	0.228993249961845	1.16823120462628	1.13567346501986	0.811142828826968	0.614517460191038	2.60826486604959	1.16826825774953	1.06379440674053	0.328237612386856	0.531332972785432	0.502113711826119	0.515835721077035	3.45024659510833
DNAJC5	1.33135239550498	0.207942392026849	1.27682275304924	0.679442999250495	3.14438513121796	0.380472104410606	0.119599875615903	0.299463105603489	0.556091002093325	0.537081812933003	0	0.572463392774486	0.516001520090732	0.327023213397418	0.102480110332164	0.145607876263167	0.744229599307265	0.087094417801838	0.71175824613693
