Gene	C2_CM	C1_5W	C8_Macrophage	C4_EC	C3_Fibroblast.like.cell	C5_Valvar.cell	C9_B.T.cells	C7_Mast.cell	C6_EP
RPUSD2	0.339782956311827	1.22786251208161	0.325863057726608	0.395725307661241	0.419167211333219	0.314916194302182	0.511164509394318	0	0.163263698944364
RPUSD3	1.76871992434085	4.30531803595795	1.29977725591795	2.20569538077536	1.37617390681283	1.15982963410667	1.39260245800896	1.87752102184681	1.48248435019224
RPUSD4	0.667603972954257	1.70146755229914	0.662043680064834	0.859790672061555	0.759649266617623	0.563840664924081	0.767263627696018	0.551060531946124	0.726307830200454
RQCD1	1.45879831025312	2.93700122056527	2.04628314877314	2.36388690420421	1.7649330630332	1.82826618470709	1.23501627766506	2.95161650514705	1.47588795232828
RRAD	5.59335481280425	5.68881694574773	2.9579389829096	2.15961684641631	2.2992263391307	1.48099898631538	2.83313914953335	2.10096683084246	1.28901204455425
RRAGA	3.79463302980949	5.94852969032586	3.12418431223126	4.96701304801717	4.21268747386426	4.75943666217491	3.65560159881454	3.35467054456039	3.63452345802314
RRAGB	0.968147834778756	2.68925790489461	1.26321824856035	1.45966602728126	1.20672702465437	1.73647496041663	0.813657069635372	1.02695223761142	1.13944231548217
RRAGC	1.2209190395186	1.03255879740109	2.13057524511934	1.31362393595144	1.552015431591	1.62323916911345	0.700812242867435	0.945186773807053	0.516842741953829
RRAGD	2.24367644933173	2.84541500292772	1.61754524202842	0.567658610596565	0.766944442070039	0.286778049300341	1.01432178553381	0.949396158468331	0.644332345996118
RRAS	1.06530711459968	1.20741352034023	0.928979057997836	2.7033814194167	2.46923311508144	1.69048194766331	0.527121574570525	0.9585804795032	1.56658232661202
RRAS2	0.713852942955298	1.45796375869013	0.618612716330748	1.06512163660751	1.07545740182598	0.735408489163636	1.07241325200883	0.889451556547561	2.69566452888859
RRBP1	2.25638280128626	4.81263078485149	3.80553575256491	6.60195027095515	8.1218351517526	7.44656013924566	2.83261490437312	4.55580897117316	6.09688512339219
RREB1	1.38026378249273	1.42831966942946	2.12298046554529	1.21635134567887	1.12313349452555	1.2410141949072	1.25760544882209	1.71717929651226	1.44190725328652
RRM1	2.16393901841554	3.96570899488782	1.99106404828294	2.08412928899173	1.93802980450124	2.10507511952592	2.12929584759849	1.18409747002679	2.12263935206951
RRM2	2.00337824576768	3.23438413008113	1.80469291996362	1.68246757072405	1.67466821643808	0.959283120609414	1.23795556196963	2.17162453445678	0.629508805464822
RRM2B	0.600786833389954	0.863154952109325	1.24277654908392	0.678254966492791	0.61587152928091	1.05477085774502	0.596896000970202	1.23012539630996	0.615559420154213
RRN3	1.04952846710952	2.48194685437239	1.31776529611074	2.00331749156878	1.42746016807359	1.68519510699479	1.37882546032755	2.50749065617847	1.68266672863276
RRN3P1	0.518738820307774	0.99251619630049	1.069191280853	1.42057996151817	1.23854680541573	1.5688037477229	1.67376317054903	1.1028830833346	0.590596020416955
RRN3P2	0.282949235405978	0.652575639677081	0.591535602430408	0.61398975879412	0.429288810940367	0.41944907814081	0.595568108786457	0.407937417865265	0.399886030249327
RRNAD1	0.613310618725905	1.07435668641405	0.797494681490493	0.897713591274692	0.742766466535395	1.15136635407514	0.884190577975266	0.656798097094897	1.26777240136503
RRP1	0.536132110575412	1.87229631195653	0.721225314084456	0.900787021659159	0.988787900330936	0.885096876806487	0.955048575063616	0.739318211896834	1.041568993803
RRP12	0.378704592073294	1.58815641406227	1.03163090081039	0.621215677293149	0.488022899089683	0.644978310185226	0.838404307173387	0.361145973469361	1.27578052116345
RRP15	2.84872329957022	4.12353688171437	2.07815393386501	2.6629600115733	2.28154232035698	2.12283532583834	2.62288557242226	2.46185969674686	2.69434788908755
RRP1B	1.35474589683559	2.99381305907952	1.59696447095806	2.43753400861623	1.73777150106158	1.98045098701553	1.61851586547489	3.44055982757284	1.11294027782123
RRP36	0.81975265339665	1.6876669379483	0.839358871084122	1.05224319175703	0.930799335939636	0.7184488290741	0.821529870115131	0.632815491025481	0.76463248741334
RRP7A	2.14796182978449	5.01331877815225	2.47952316514667	3.04117333108522	2.40095125331269	2.01059511537069	2.92514808359977	1.7928909451166	1.59253793670908
RRP7BP	0.339743673620572	0.556386238205945	0.202830595929105	0.304468071254144	0.290064190011784	0.221757901521564	0.149110718121422	0.253446617768156	0.25156189302756
RRP8	1.12071519486068	2.98556955281811	1.15253670258914	1.42124701841495	1.26981981083729	0.976729681178046	1.19427331566174	0.765662776056084	1.3946117453551
RRP9	0.722034744601671	2.77553280723496	0.71917892182666	1.12037804217897	0.923652408949614	0.718155444994542	0.968035560662665	0.701303413691599	0.901451842238287
RRS1	0.192230134654809	0.978864751393147	0.285955913570366	0.279097810753565	0.181830708532699	0.155384690640253	0.105936709373505	0.252650829512443	0.0809756396978444
RSAD1	1.04364317802256	2.21399208636729	1.16124846899378	1.3935755105689	1.26389591819488	1.03794515502155	1.14851581656263	0.482191297299047	0.872717657114213
RSAD2	0.425967499800839	0.0387463900289392	0.47449117516493	0.357474277896759	0.138009651812622	0.450634422589313	0.150859097071924	1.39096813848621	0.364857533557782
RSBN1	1.84011707923492	2.7728033619828	3.25061298172458	2.5164006777481	2.69213052057631	3.40746894032516	2.50197941614163	4.17328732395277	2.07502345429811
RSBN1L	0.855788771008736	1.40034417979314	1.43329762658054	1.08635181986966	1.00011555914889	1.22637193303151	1.10383460264431	1.0628233574441	0.919235504547302
RSF1	3.31814574647884	6.06051799616562	3.97369530762068	4.98739033397886	4.67613038057259	4.96070192582824	3.9380545079964	3.79044983577667	4.00045777525685
RSL1D1	5.34516605676719	7.97753213341468	5.61064877524159	5.94355557688803	6.06392017799997	6.1516095958113	6.63165856926932	5.92743014483841	5.77502833850154
RSL24D1	4.04137064832404	6.49743790311257	4.45575385899919	4.68424265052579	4.71749719075232	5.5247561837251	4.36114090648305	6.0624381169253	3.83100758473236
RSPH3	0.25767619130044	0.948430377497496	0.274525405707962	0.231238687613454	0.260330851045272	0.223264487932512	0.166084267013127	0	0.440705129871933
RSPH9	0.168977893218117	0.363071333748195	0.117245907843758	0.153045304535565	0.373318943175498	0.630724636749008	0.0738504983668904	0.422832453346997	0
RSPO3	0.136107231568534	0.227914528667712	0.333675212887549	0.155568045979343	0.965766761953202	2.50181641130638	0.216894975985411	0.297400136890887	0
RSPRY1	1.16144369359127	2.48520482162932	1.60558291990505	1.96679482397345	1.59417095961203	2.38495304081413	0.967286785730683	2.5652455753441	1.92803519503324
RSRC1	1.68679163969264	3.52803147875067	2.79234488794954	2.56930363294974	2.53454618818562	2.20875452464956	1.76278049489683	2.05037841553975	3.30684378432429
RSRC2	4.6421214634884	7.49409392853138	5.89735341735956	6.15595025318628	6.17479501687745	7.48061712608301	5.12457506186591	5.67203007062523	5.56708624817643
RSRP1	4.39711287559742	8.18944067061748	6.20394105710684	6.84037883815064	5.91984892197262	7.40069669573657	6.22627255550862	6.76386956832145	8.58441168094009
RSU1	5.01388312804914	6.50316800375997	4.51852287592616	6.07749004227842	5.13608240963897	4.99967975297284	3.82415855943926	5.19351607791899	4.54937236466017
RTCA	2.1091866574054	4.44282903707231	2.26967774659585	2.29518649140824	2.02147671273376	1.91181072040519	2.33315684043504	1.51755883712128	1.76728659648771
RTCB	2.51842993554634	5.93119826594539	2.78929368420466	3.72875526075518	2.70610299100922	3.07610974799835	3.39780684159516	2.25924194644796	2.61576881351287
RTEL1	0.2409319361499	0.47093768331901	0.296102090944371	0.289204632610799	0.293534184767066	0.185602012584316	0.335997886206027	0.550753506595123	0.10238586870761
RTF1	2.77860322514612	4.71055157832213	3.41598168514044	3.87793037569744	3.42019532464931	4.28626133330057	2.85764903788808	2.25108142117704	2.94199313848325
RTFDC1	3.81044832904375	6.35894067990458	4.23387741134094	5.24898849111571	4.22205159389269	4.08126460705946	3.16376953713517	4.85648361927709	4.56104403821867
RTKN	0.895866642186197	2.64788765073071	0.838097536308609	1.71653263864246	1.82734406601006	2.38491929278289	0.381588038517832	0.708475364156161	1.34949543334128
RTKN2	0.85116860883151	1.90906432996948	0.521075216068742	0.567488084297759	0.915085146803566	0.570336265419325	0.569982403594104	0.801787457740293	0.392181540524108
RTN1	0.236070628396007	0.135441260932189	2.00406879061767	0.104974553385979	0.450632879135469	1.05095218633608	0	0.267486128901209	0.528702444222282
RTN2	0.279925802669081	0.802967738116966	0.637838605241452	0.719715681630278	0.839696318200748	0.337727877549507	0.183364572178921	0.699845823060506	0.251859501580905
RTN3	3.58791632902445	6.68778952126496	4.95870412289643	5.00330759814481	3.99925431272737	5.13380189601933	2.57992236732727	4.58851593449418	5.3041110034343
RTN4	4.3765385982198	4.79404549799972	6.14848587203546	4.95407185723136	5.30788348168522	6.05364302951238	4.62215904105041	5.90183112837662	4.52056338568077
