Gene	Central_venous_LSECs	Cholangiocytes	Noninflammatory_Macrophages	CD3_alphabetaT	Inflammatory_macrophages	NK_like_cells	T_cells_1	Hep_5	Portal_endothelial_cells	T_cells_2	Periportal_LSECs	Hep_6	Mature_B_cells	Stellate_cells	Antibody_secreting_B_cells	Erthyroid_cells	Hep_2	Hep_3	Hep_1	Hep_4
TSTA3	0.592920693728681	2.32390560993948	0.523862628695047	0.954936807666885	0.700630001312439	1.23051244255469	0.568963143783334	2.43431202213037	0.939009346938115	1.64033395263668	0.595138817012214	1.09286488056523	0.360304812044224	1.80610420788875	1.2960970514026	1.71777609923148	0.960551895114459	0.875268311035403	1.68146227338892	0.558843668219856
PUF60	1.02602696050913	1.89938394720009	0.797101413213329	1.32796353012141	1.00039124771438	1.27541547221282	1.61058189629003	2.06453023883298	1.62823368502881	2.15485700066707	1.04371214432262	0.782925645794311	0.706261585873799	2.37967107061029	1.2977717274514	0.750447034631478	1.12975016105718	0.655608530489661	2.07119249076217	1.33390503759579
NRBP2	0.296095960715688	1.50581542292145	0.111208937772308	0.106828002609211	0.112531485367001	0.0362669403752722	0.0393882190107979	1.73821399967017	0.280118937134346	0.122810144431487	0.25297612392369	0.0563110051064808	0	0.161101184535382	0.0708419018139616	0	0.844711583711078	0.793313815809009	0.727514188884602	0.705411262359371
PLEC	0.713956780262664	1.03091014524007	0.84446166217409	0.274195741199809	1.5113015878422	0.188717260139092	0.154986659489235	2.3327461524181	1.56280489963504	0.288377803513409	2.25048807286658	0.219219989905173	0.122062839362259	1.63034385146197	0.372952767011578	0.13570513135131	1.36305920984998	0.921991576395904	1.20907928867613	1.48034779497018
PARP10	0.440369063622078	0.316035704070218	0.39435869134975	0.62067976175097	0.360676685594232	0.553951458713373	0.419736236536787	0.883789344776269	0.408711793078576	0.732522800026313	0.254320387096216	0	0.325414329821819	0.187146635656522	0.382987276682948	0	0.453754854644408	0.373449639585221	0.328726670917732	0.459531269507731
GRINA	1.42006774846636	1.4521435194568	3.82413305942366	0.395843895673979	2.95290060511642	0.403807975972339	0.386511589450801	4.4504449434583	1.75787172035079	0.348052378468212	1.22765752735072	1.47452016925752	0.409505998349791	1.48430100468242	0.382220288170799	0.932405111759073	3.74852013220586	1.64857895975262	3.53312872586767	2.81376115365943
EXOSC4	0.727390233332581	0.933513804611746	0.582028744293185	0.287761438516442	0.661724637124872	0.430241273756729	0.30027825677095	1.75652638511254	0.703704490950791	0.559957605669405	0.519394261690627	0.740461221178929	0.197567478140255	0.196924464201882	1.22371880005711	0.291785349661803	0.674543970556392	0.436664449122016	1.77790867189457	0.69132475602055
GPAA1	1.11507965349233	1.97288964852483	1.37027903025308	0.754541460121317	0.952420806833985	1.19547893605746	1.00859267016356	2.27924731932584	1.07215267058873	3.40669206938626	1.12571706430366	0.420937239221372	0.325867885789872	3.03071659081781	2.21169428611308	0.607605385260959	1.14125438296736	1.08302026942407	1.42774665924769	1.58776491830964
CYC1	1.27468404443935	4.2893967405299	1.50383817561942	1.1819522625745	2.07152590123089	1.76019283923507	1.43101311558948	3.6003035997645	1.65765298819445	3.86669095893321	1.88217309735098	3.16900956495103	1.02282295308316	3.7183205740531	3.86937448861974	1.34769190814295	3.12992196808846	1.57979062541365	5.02548532636854	2.0971237141899
SHARPIN	1.03632624981458	1.10947595976842	0.86116393886915	0.898371521960945	0.830559154597612	1.01414285827584	0.878749168403852	1.28854605092455	1.17708159649633	1.76144517066681	0.926478160393466	0.707386271339035	0.509452645078672	2.19155104393844	0.959551649505044	1.02652071652677	0.960097371731067	0.330090946317318	0.811774541924601	0.44005098400061
MAF1	1.22851665675351	1.41232986521838	1.16992422242354	1.79527020044816	1.57938370873219	2.24679444229331	1.77023533347527	0.830017677761533	2.38884701196619	3.92099014379283	2.1138095983344	0.256108180524223	1.59320547430809	2.28666091565999	1.53056795038668	2.04362791376371	0.66168296650463	0.252324563948194	0.703841466172987	0.580734430322232
HSF1	0.813590492063207	0.907364634194123	0.428646412427745	0.663469667480228	0.569341318590911	0.899514927262518	0.742680136012725	1.45548875566618	1.48978511050949	1.53985043096007	1.28792219403082	1.14507321515187	0.849476091392406	1.29623273596101	0.758143773752751	1.71816909933525	1.38280215734811	0.684859788134794	1.46064918742017	0.478893709093694
DGAT1	0.38155594384726	0.487963273785123	0.567127910003758	0.177146043612553	0.559535318480464	0.20252395431724	0.1940561225275	1.29973838880364	0.693677139286019	0.351429609373424	0.392331999094058	0.148870455503208	0.235601111246841	0.372236260158772	0.264826820323958	0.376278332537423	1.18600060598468	0.60432178144864	1.4017824341306	1.01323715119364
SLC39A4	0.23693484745411	0.653316852785627	0.224595940995528	0.222679714165369	0.479406778537661	0.371922657308705	0.301549142968083	0.496141581487876	0.483189166332262	0.450963830755708	0.266449714289499	0.277905143578049	0.405260947930013	0.370043222259326	0.987507208059018	0.0753315282494394	0.562128719664557	0.34252409098375	0.726290628550362	0.191716318042264
VPS28	2.74868123673386	3.67844002799928	2.67372073511458	2.37365049220405	2.99253722953619	2.95035776977545	1.93769924467916	3.05984970756061	3.64515824165574	4.39287920175566	3.55639617414893	2.17457423106383	1.64973257836957	4.89369121157897	2.11477467469888	1.98003760040579	1.59263146159176	1.46057241704532	3.40070494435644	1.47482364095911
CYHR1	0.786850671658947	1.84450951783094	0.491173173074402	0.587106843894616	0.579401570744091	0.587165877232639	0.343921793654758	1.78650845264423	0.789513407394214	0.605680664075515	1.31283650382931	0.407009608218208	0.468538230623892	1.02071977878659	0.493221537525605	0.322880375447752	0.980179429030202	0.333108763871693	1.06643118916588	0.856561451489358
