gene	delta	alpha	gamma	ductal	acinar	beta	PSC
FIGNL1	0.437826485794474	0.594109192360803	0.374862998484063	0.837631733118847	0.577851049035207	0.6695710518031	0.638593345353456
VSTM2A	0.00660761424928309	1.2729951036581	0.174344206583577	0.0106853237723548	0.0107326217587553	0	0
SEC61G	6.60578763420125	6.36716322181491	5.9581697265871	6.65209233589394	7.23053034634468	6.63620752141086	7.45396948620469
FKBP9P1	0.170485015457267	0.236022243905181	0.422302352954397	0.707272872517101	2.69618108885081	0.240367104189524	2.09431603191076
GBAS	5.38228652711819	4.13665819598251	5.64712530830237	6.84526257597375	5.13523897591278	5.95389226541284	5.68892128560509
MRPS17	1.18517679782821	1.6357508623162	1.21552125123693	3.10516359110377	2.7696987459205	2.3746064408424	2.83337678637103
CCT6A	5.63529797175514	5.68965426596486	5.64197367452559	7.20623085864485	6.84769197035703	6.25107926778535	7.24170795391895
SUMF2	5.1227853859501	6.87960561524583	4.02112831186142	6.72125695084033	6.01560974572288	5.43860216814805	5.99967992529413
CHCHD2	6.97883775926975	7.09734712872854	6.35924946415128	7.69322427248538	7.84948654414421	7.02461460158111	7.48953448264038
NUPR1L	2.45444571662936	4.33735627632272	3.24138953976408	0.802774943563342	0.743979133276876	3.50487168225265	0.133618519981405
YWHAEP1	0.152571889759822	0.23223861071792	0.197181049333289	0.181164711968443	0.108245689953019	0.240540756892299	0.0702006212912832
ZNF680	0.892980245614378	0.802501119278802	0.57190338522819	1.81932044005411	1.47983640691793	0.885523091416848	1.13515600953917
ZNF107	0.955051857300066	1.06618828562104	0.924294898044126	1.33053288721266	1.10931629059787	0.508854862215431	0.772648337933786
ZNF138	1.49626991324137	1.18746359107787	0.642596176779345	1.54615234370857	1.72850379835948	1.91033259169436	1.07159146343475
ZNF117	0.435105264730936	0.623688809765075	0.941684443114434	1.65450054831254	2.12766014239403	0.494918073921807	0.580185808586219
ZNF273	0.423711264285282	0.335182913483626	0.189969170706796	0.706434385295133	0.626755031757876	0.442601765110411	0.151439016918923
ERV3-1	1.65378696871358	1.52108460696864	1.53854341023247	3.63447626418205	3.63816735747939	1.77078342761593	2.52490153441322
CCT6P3	0.404718586421415	0.36757590661257	0.506274209361557	0.429409622614526	0.590908981668292	0.406081592436778	0.750005949854869
ZNF92	0.71587293240674	0.880942705199082	1.23239653626146	1.63938599742884	1.45293390653145	1.2042468204747	1.37958383409795
CCT6P1	0.603659159107537	0.656962986775773	0.755915728178165	0.700976091390671	0.801470238817904	0.559091423878801	0.616055618298543
GUSB	4.76313202159968	5.64675088168495	3.58877475767167	5.88111096712273	5.84945372922755	4.39887637603059	4.78303469171964
CRCP	2.33225007620737	3.01480857796793	2.95518117784923	3.95417963977564	3.73741873316115	2.58383492023426	1.79964863872064
ASL	3.32260130594138	3.50229421264586	3.3744095774561	5.5870738784328	6.81667429936615	3.13955245498597	3.52687188605651
LINC00174	0.785594423702205	0.518612704921001	0.56722007448655	0.567119396857498	0.560292376922925	0.391045497450289	0.223867189306785
LOC493754	2.43588222548568	2.47440534026631	2.51614540810907	2.99410418290378	2.99540574997197	2.73311578225639	3.01377562962704
KCTD7	1.48035143993638	1.40290754453284	1.86046659942669	1.08562889245073	0.909738068667649	1.5081130606205	2.69449684554975
TMEM248	4.77716401386911	4.6663950065631	4.89066518320539	6.44195955921836	5.72556919193661	4.82695328066448	5.79633545963828
PMS2P4	0.45917415360081	0.665853117034741	0.624773783686996	0.566762643405039	0.318158922875179	0.59987886728637	0.234858346476627
STAG3L4	1.92101044819796	1.9349929103246	1.57400819559643	2.22292630176666	1.85004328318363	2.62634974706505	2.04721562821881
SBDSP1	3.19527780870744	2.49385061931304	2.7280883431994	3.16630079049905	2.68251442861633	3.83135692914345	2.76662121579412
NSUN5	1.61614922298719	1.98883486938021	1.57258589678314	3.16087741553998	3.04332160463346	2.5796640620262	2.33006942206277
TRIM50	0	0.0256101798195266	0	0.918399609564136	3.63140351539168	0.0319463922476598	0.0583467904039809
BCL7B	4.30171818226948	4.07022646806226	4.01696527695171	4.98238587277607	3.98811788755304	4.13425049773904	4.2572011214591
TBL2	2.62911332341807	2.66229623134969	2.29811905890679	3.68489532157217	4.27542689606527	2.52744029054874	5.41214393828526
WBSCR22	4.73361030742497	6.335558783823	5.27278356870615	5.94526863506866	5.50360281394845	6.48533184163336	5.29881695168194
DNAJC30	2.7763612994904	2.81519961839116	2.63438279012725	3.43488811360709	3.78457486563755	3.09788270542762	3.11167925167302
STX1A	5.83981336494538	5.97802204590389	6.54001303622776	0.991576711108185	0.65394490613491	7.43106133934957	1.01932005967079
MLXIPL	5.77805289256397	5.90012483786193	5.96071120123381	1.95636114796187	2.23847825507703	7.01336172452915	0.10031473466066
VPS37D	0.780459359855553	0.702592855016853	0.893857796372629	1.21902075948628	0.448190195339966	0.505612549416142	0.044546462896025
ABHD11	1.91506925580759	2.34150995653482	1.54177113322902	5.61684240727201	5.23636910899193	2.18772141436813	2.37008694601676
CLDN3	4.18532890505273	5.14529304601333	3.83518313778692	7.53068452833533	6.31581980560317	5.19219534969826	0.403647096048321
CLDN4	5.11237329655107	4.48177345368084	2.85446508981935	9.91840978845023	9.51710525306389	5.02790836696591	0.589873185362898
WBSCR27	1.14735250376888	1.61243837588144	1.15976294913047	2.09642682276715	2.38326328186376	1.27595172918432	0.28205512601692
ELN	0.67666956057254	0.832382792407871	0.50313436618654	0.26540420681415	0.958315146573303	0.316048116917244	0.98856779420386
