gene	acinar	alpha	beta	delta	ductal	mesenchymal
PDS5A	3.19415980996777	3.40506740388931	2.60812980494097	2.9545409361264	2.56950631072911	1.61182508247675
PDS5B	1.38590218892991	3.13524790161932	2.80756121031258	3.04029511815175	1.77761854984978	1.81090598509111
PDSS1	0.313443984709704	0.299584647816261	0.124350401002797	0.409842702569849	0.467769224522257	0.105341718187361
PDSS2	0.634247575010811	0.834057397458542	0.912494472769706	0.487590303427084	1.24662704007814	0
PDX1	0.336376936974901	0.0414898126101471	1.90152669149334	1.95527507506366	2.21203106309406	0
PDXDC1	3.93261884380337	5.71167985788768	4.96752404838767	4.01522494320704	4.16450967894891	1.83381499176325
PDXK	1.93038478740868	2.15677834624168	2.49815434501278	2.09652762969951	2.79092824742102	1.36018776192515
PDXP	0.361074857747239	1.70142241526316	0.85910705349251	0.688704588870401	0.173129448807006	0
PDZD11	1.73763871184395	1.90582758298943	2.060236440752	2.3246840831506	2.1271330026399	1.61422372386994
PDZD2	0.0579489621854222	2.0276167342909	0.811082316404446	0.397969618629288	0.167375318548693	0.309804310458975
PDZD8	3.49148811771762	1.71628641907735	1.34468427639109	1.42671859351711	1.22086241299523	0.730087369889204
PDZK1	0.35578194757101	2.43449037782671	0.824393565371291	0.141110923951161	0.121380309034962	0
PDZK1IP1	1.8834148464017	0.0218590980042397	0	0	2.77187053503605	0.113023545343455
PDZRN3	0.389003910756861	0.886415173146447	1.31331110014261	1.74502730599869	0.00514916503748951	1.83039970310253
PEA15	1.50661142171967	2.31031046755756	1.55942612858908	1.91901680539914	3.7493674296392	5.83017152167992
PEAK1	1.38252999992165	1.07276089929426	0.366074157023103	0.747681585925448	1.49969060823195	2.59985434616947
PEBP1	6.5566858857133	7.86761278108376	8.4635881604374	7.11641409405545	8.22077612646919	6.01419182262185
PECR	0.260162435926281	0.590323059983237	0.334246172949797	0.50238801163315	0.698685776879098	0
PEF1	1.44677251137112	3.01391518028501	2.41914508737982	2.26769250383465	4.0144371671101	0.846116426408173
PEG10	0.273319007176564	4.49221067135935	2.57063042568015	3.92035882532803	2.06709528557587	0.534522995275339
PEG3	0.22458471990178	1.63682839736671	1.85041250596806	1.43587289641611	0.0505698781360718	0.0475066585561469
PELI1	3.95108350994253	0.389359010162929	2.14197716197731	1.65327550866039	1.71059047035095	4.34419995682137
PELI2	3.93039080967908	1.10848640835263	1.06535845922641	0.399604940688397	1.34607532909899	1.91788629244586
