gene	CD4.Memory	CD14..Monocytes	NK.dim	pre-B.cell	NK.bright	CD4.Naive	CD8.Naive	pDC	Double.negative.T.cell	CD16..Monocytes	Platelet	CD8.effector	B.cell.progenitor	Dendritic.cell
DNAJB11	0.853039142622183	1.98938954808223	1.89097525953178	0.65272191820197	1.83171893175031	0.627036945302311	0.916621958568595	4.07524055012695	1.05511754510524	1.54805308003712	0.533269698362622	1.5622325357422	0.937864822268501	3.34866972959947
EIF4A2	7.81339140225381	5.74651013302615	6.87607500940482	7.57606187970907	7.83909364322695	7.76528333233971	8.0050288729527	7.83096906713569	7.51815858802966	7.13501340554459	3.78162669576563	7.48701371382619	7.96506756792252	7.21487639952329
RFC4	0.600247875085349	0.251662428360957	0.950787968183912	0.508939023209053	0.840929048506072	0.492658617796869	0.788449259902724	0.469137936496372	0.55797805363644	0.632230110194464	0	0.605272907013039	0.73253931030518	0.0767905966644453
ST6GAL1	2.05537775004428	1.04504496377392	1.13558370288486	2.92560048562396	1.29971727222583	1.43371432116474	1.95185044458658	2.39502076079732	1.55826863777473	2.39041000470438	1.08448439949222	1.73711915463182	3.07412620762094	2.09044029702422
RTP4	0.511484110756412	0.388201660954522	0.729297142542504	0.133701660471725	0.332841590272419	0.237398389464933	0.170985465379746	0	0.312445409271551	0.67265344341458	0	0.56234724994365	0.230420509820401	0.497357129683874
BCL6	0.240124675280307	4.09333184330347	0.212652211208621	0.520592519034851	0.475677060755855	0.120591080095471	0.213305889464282	0.275837993388113	0.382460916531004	3.33965215056689	0.141971874008747	0.37708171509929	0.202462572704182	3.62942249782305
LPP	1.7408458516832	2.40400487258197	2.84015344357332	1.69297428411874	2.28079258528057	0.77522306337523	0.743241342588196	2.44482353726266	2.12609375063771	3.62065990956677	1.17788432787295	2.20159086572738	1.79204119242195	3.39897770378703
CCDC50	0.264440474384786	1.77549342280002	0.646543701934795	2.2233692236636	1.39457264001927	0.0765255878942778	0.0428111079394246	10.3455990535819	0.113804782794911	1.24747710423039	0.406661309567654	0.373560617498956	3.63906727319771	5.33506660915795
OPA1	0.708386833785069	1.7434162943593	0.840854192515263	0.624824618146442	0.828574418411668	0.627774935988067	0.820077618569489	1.79583465837922	0.861849651344905	1.81478136947405	0.524074588486801	0.522146231541484	0.914285434854132	2.50098607985888
ATP13A3	0.834016472779349	1.59130961437294	0.801576983918542	0.427784528826937	1.16828464149545	0.729257522822387	0.65792490778052	1.46270018803138	0.844718958261445	0.663643461442335	0.431280724583256	0.665246003198092	0.736535742992198	1.67669207892239
LSG1	0.752813209159258	1.04572359096046	1.02935165519381	0.662726244069467	0.758837621072527	0.682274229568173	0.937627289446901	0.992863778748781	0.808991926124422	0.795485098311079	0.571302809443536	0.765133684341391	0.822756085049599	1.83562023705231
FAM43A	0.30502845285575	0.713262414421785	1.52782012416512	1.13589611987325	2.3470492778652	0.135005742863925	0.19686291031592	2.9706553041889	1.00094768022468	0.472174703762084	0.268141703534872	0.408366059502068	0.833756615525862	1.57455612369212
XXYLT1	0.206320700862436	0.699466572000073	0.229651146239593	0.0712042957534138	0.138478789901251	0.148633572877217	0.261205511072533	1.78523971276546	0.196304187188787	0.555297619261256	0.144260382057322	0.1375948940385	0.0319200094426269	0.802714978879944
ACAP2	2.66312794363398	6.26251870757404	2.60678784808897	2.84933902612918	2.50265649353194	2.0402651174646	1.95818399874288	4.29374092418938	2.54261403206315	5.23812515264929	2.09461184483918	2.22543543552698	3.04586912563638	4.06288042312826
PPP1R2	5.08219893928265	3.49090891019707	2.88323452616575	3.57548806385358	2.90120561064479	4.88862378067385	4.35326273494651	6.69847453050098	3.16246720593401	4.00256213784561	2.42304658988712	3.5488231889273	4.0442386022426	4.58623936022826
MUC20-OT1	2.38901341677486	2.42506703046348	2.38722890898399	2.13223935734015	1.96462392278345	2.30293313247621	2.2448455364269	2.90999855822572	2.02927620496285	3.01953517867313	0.436279171530384	2.14775093681256	2.31907061657248	4.08310129950692
TNK2	1.19837969167228	2.21642988467766	1.44555050805357	1.21267550367016	1.74428970709393	0.999398793745973	1.11327397631664	2.25688763904977	0.906176295259978	2.59348018467198	0.836249390558644	1.28270452385417	1.58558956376698	2.26819282798984
TFRC	1.15393145699447	1.13231384815698	0.273700819522033	0.378218484697416	0.473423880369778	0.585022059224511	0.570431284510684	3.35247519780743	0.587538433303679	1.71478884294493	0.699902104352059	0.743471176701126	1.63321836057538	1.74620610607834
